request	account_type	client_type	cost_of_service	currency	metro_station	online_reserving	region	resident	show_docs
Здравствуйте. Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие в канадских долларах?				в канадских долларах					
Добрый день! Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие в нашей валюте?				в нашей валюте					
Добрый день. Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие GBP?				GBP					
Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие евро?				евро					
Добрый день. Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие сингапурские доллары?				сингапурские доллары					
Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие норвежские кроны?				норвежские кроны					
Здравствуйте. Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие AUD?				AUD					
Здравствуйте! Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие шведские кроны?				шведские кроны					
Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие датские кроны?				датские кроны					
Добрый день! Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие EUR?				EUR					
Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие в норвежских кронах?				в норвежских кронах					
Добрый день! Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие иностранная валюта?				иностранная валюта					
Здравствуйте! Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие валютный счёт?				валютный счёт					
Здравствуйте. Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие р.?				р.					
Добрый день. Как в системе Сбербанк Бизнес Онлайн подать заявку на открытие €?				€					
такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть иностранная валюта?				иностранная валюта					
Здравствуйте. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть канадские доллары?				канадские доллары					
Добрый день. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть SGD?				SGD					
Добрый день! такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в сингапурских долларах?				в сингапурских долларах					
Добрый день! такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть SEK?				SEK					
Добрый день! такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в шведских кронах?				в шведских кронах					
такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть рублевый?				рублевый					
Добрый день! такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть CAD?				CAD					
Добрый день. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть фунты стерлингов Соединенного Королевства?				фунты стерлингов Соединенного Королевства					
такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в швейцарских франках?				в швейцарских франках					
Здравствуйте. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в рублях?				в рублях					
Здравствуйте! такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть CHF?				CHF					
такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в фунтах стерлингов Соединенного Королевства?				в фунтах стерлингов Соединенного Королевства					
Здравствуйте. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в японских иенах?				в японских иенах					
такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть ₽?				₽					
такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в евро?				в евро					
Добрый день! такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть р.?				р.					
Здравствуйте. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть в норвежских кронах?				в норвежских кронах					
Добрый день. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть USD?				USD					
Добрый день. такой вопрос меня интересует. я могу с СБ бизнес онлайн открыть датские кроны?				датские кроны					
